,dcnn,dresnet,dinception
1,0.8087294340133667,0.7483286380767822,0.7876232147216797
2,0.6838724136352539,0.750682020187378,0.7285146713256836
5,0.8620838165283203,1.0783031702041626,1.023755717277527
10,1.2268982648849487,1.6198825359344482,1.5646881341934205
20,2.4943766355514527,2.8524705171585083,2.67650306224823
50,6.117644262313843,6.407637357711792,6.343607091903687
100,12.02900297641754,12.232168102264405,11.824625205993652
200,23.43289737701416,24.34793074131012,23.481930947303773
500,57.26455028057099,60.772728252410886,57.83880968093872
1000,115.92750113010406,120.8309029340744,115.4828756570816
